code,year,sinclair_present,years_before
520,2018,FALSE,-99
520,2019,FALSE,-99
520,2020,FALSE,-99
521,2004,FALSE,-7
521,2005,FALSE,-6
521,2006,FALSE,-5
521,2007,FALSE,-4
521,2008,FALSE,-3
521,2009,FALSE,-2
521,2010,FALSE,-1
521,2011,TRUE,-0
521,2012,TRUE,1
521,2013,FALSE,2
521,2014,TRUE,3
521,2015,TRUE,4
521,2016,TRUE,5
521,2017,TRUE,6
521,2018,TRUE,7
521,2019,TRUE,8
521,2020,TRUE,9
522,2004,FALSE,-99
522,2005,FALSE,-99
522,2006,FALSE,-99
522,2007,FALSE,-99
522,2008,FALSE,-99
522,2009,FALSE,-99
522,2010,FALSE,-99
522,2011,FALSE,-99
522,2012,FALSE,-99
522,2013,FALSE,-99
522,2014,FALSE,-99
522,2015,FALSE,-99
522,2016,FALSE,-99
522,2017,FALSE,-99
522,2018,FALSE,-99
522,2019,FALSE,-99
522,2020,FALSE,-99
523,2004,FALSE,-99
523,2005,FALSE,-99
523,2006,FALSE,-99
523,2007,FALSE,-99
523,2008,FALSE,-99
523,2009,FALSE,-99
523,2010,FALSE,-99
523,2011,FALSE,-99
523,2012,FALSE,-99
523,2013,FALSE,-99
523,2014,FALSE,-99
523,2015,FALSE,-99
523,2016,FALSE,-99
523,2017,FALSE,-99
523,2018,FALSE,-99
523,2019,FALSE,-99
523,2020,FALSE,-99
524,2004,FALSE,-99
524,2005,FALSE,-99
524,2006,FALSE,-99
524,2007,FALSE,-99
524,2008,FALSE,-99
524,2009,FALSE,-99
524,2010,FALSE,-99
524,2011,FALSE,-99
524,2012,FALSE,-99
524,2013,FALSE,-99
524,2014,FALSE,-99
524,2015,FALSE,-99
524,2016,FALSE,-99
524,2017,FALSE,-99
524,2018,FALSE,-99
524,2019,FALSE,-99
524,2020,FALSE,-99
525,2004,FALSE,-9
525,2005,FALSE,-8
525,2006,FALSE,-7
525,2007,FALSE,-6
525,2008,FALSE,-5
525,2009,FALSE,-4
525,2010,FALSE,-3
525,2011,FALSE,-2
525,2012,FALSE,-1
525,2013,TRUE,-0
525,2014,TRUE,1
525,2015,TRUE,2
525,2016,TRUE,3
525,2017,TRUE,4
525,2018,TRUE,5
525,2019,TRUE,6
525,2020,TRUE,7
526,2004,FALSE,-99
526,2005,FALSE,-99
526,2006,FALSE,-99
526,2007,FALSE,-99
526,2008,FALSE,-99
526,2009,FALSE,-99
526,2010,FALSE,-99
526,2011,FALSE,-99
526,2012,FALSE,-99
526,2013,FALSE,-99
526,2014,FALSE,-99
526,2015,FALSE,-99
526,2016,FALSE,-99
526,2017,FALSE,-99
526,2018,FALSE,-99
526,2019,FALSE,-99
526,2020,FALSE,-99
527,2004,FALSE,-99
527,2005,FALSE,-99
527,2006,FALSE,-99
527,2007,FALSE,-99
527,2008,FALSE,-99
527,2009,FALSE,-99
527,2010,FALSE,-99
527,2011,FALSE,-99
527,2012,FALSE,-99
527,2013,FALSE,-99
527,2014,FALSE,-99
527,2015,FALSE,-99
527,2016,FALSE,-99
527,2017,FALSE,-99
527,2018,FALSE,-99
527,2019,FALSE,-99
