code,year,word1,sinclair_present,market,years_before,sword1
504,2006,0.3430754004071909,FALSE,PHILADELPHIA,-99,1.0553155270735017
504,2007,0.24033538238970062,FALSE,PHILADELPHIA,-99,0.3480562888490304
504,2008,0.2921612232526335,FALSE,PHILADELPHIA,-99,0.7048238409320037
504,2009,0.1966896598939086,FALSE,PHILADELPHIA,-99,0.04760042909946842
504,2010,0.18215900735785712,FALSE,PHILADELPHIA,-99,-0.05242815218618725
504,2011,0.17405307129202666,FALSE,PHILADELPHIA,-99,-0.10822917575656996
504,2012,0.18157044631571606,FALSE,PHILADELPHIA,-99,-0.05647978895193534
504,2013,0.18386585273186679,FALSE,PHILADELPHIA,-99,-0.04067827923226649
504,2014,0.1693529164273975,FALSE,PHILADELPHIA,-99,-0.1405849025049218
504,2015,0.18348153974027726,FALSE,PHILADELPHIA,-99,-0.04332387847311056
